"matchup_key","ev_tier","edge","vegas_line","model_line","bet_recommendation","confidence","sportsbook"
"LV at KC","🔥 ELITE",28.1229769902701,-12.3,15.8229769902701,"BET KC -12.3 (-120)","VERY HIGH","Market Average (Free Tier)"
"NE at TEN","🔥 ELITE",-13.9608704577429,8,-5.96087045774286,"BET NE -7.5 (-118)","VERY HIGH","Market Average (Free Tier)"
"CAR at NYJ","🔥 ELITE",-13.7296413083927,1.7,-12.0296413083927,"BET CAR -1.6 (-120)","VERY HIGH","Market Average (Free Tier)"
"TB at DET","🔥 ELITE",11.2325170938888,-5.9,5.33251709388876,"BET DET -5.9 (-123)","HIGH","Market Average (Free Tier)"
"WAS at DAL","🔥 ELITE",8.99129732087926,-1.6,7.39129732087926,"BET DAL -1.6 (-109)","VERY HIGH","Market Average (Free Tier)"
"NO at CHI","🔥 ELITE",8.50798537748578,-4.8,3.70798537748578,"BET CHI -4.8 (-113)","LOW","Market Average (Free Tier)"
"ATL at SF","🔥 ELITE",7.74658931689713,-1.6,6.14658931689713,"BET SF -1.6 (-123)","VERY HIGH","Market Average (Free Tier)"
"GB at ARI","🔥 ELITE",-6.25618955283135,8,1.74381044716865,"BET GB -7.5 (-129)","LOW","Market Average (Free Tier)"
"HOU at SEA","🔥 ELITE",5.38923918215443,-3.2,2.18923918215443,"BET SEA -3.2 (-118)","VERY LOW","Market Average (Free Tier)"
"PIT at CIN","⭐ STRONG",-3.8,6.3,2.5,"BET PIT -5.9 (-113)","VERY LOW","Market Average (Free Tier)"
"IND at LAC","✓ GOOD",2.25602935331167,-1.6,0.656029353311669,"BET LAC -1.6 (-120)","MEDIUM","Market Average (Free Tier)"
"MIA at CLE","✓ GOOD",2.13319201211925,-2.7,-0.566807987880755,"BET CLE -2.7 (-123)","VERY HIGH","Market Average (Free Tier)"
"PHI at MIN","❌ PASS",0.82110146874742,1.7,2.52110146874742,"NO BET","VERY LOW","Market Average (Free Tier)"
"NYG at DEN","❌ PASS",0.35935219028275,-7.5,-7.14064780971725,"NO BET","VERY HIGH","Market Average (Free Tier)"
