"matchup_key","ev_tier","confidence","bet_recommendation","edge","vegas_line","model_line","sportsbook","home_team","away_team","over_under","weather_impact.x","total_weather_adj","weather_impact.y","home_days_rest.x","away_days_rest.x","total_rest_adj","home_days_rest.y","away_days_rest.y","notes"
"LV at KC","🔥 ELITE","VERY HIGH","BET KC -12.3 (-120)",28.1229769902701,-12.3,15.8229769902701,"Market Average (Free Tier)","KC","LV",48.8,0,0,0,7,14,0,7,14,"⚠️ Rest advantage"
"NE at TEN","🔥 ELITE","VERY HIGH","BET NE -7.5 (-118)",-13.9608704577429,8,-5.96087045774286,"Market Average (Free Tier)","TEN","NE",45.6,0,0,0,28,7,0,28,7,"⚠️ Rest advantage"
"CAR at NYJ","🔥 ELITE","VERY HIGH","BET CAR -1.6 (-120)",-13.7296413083927,1.7,-12.0296413083927,"Market Average (Free Tier)","NYJ","CAR",45.6,0,0,0,7,21,0,7,21,"⚠️ Rest advantage"
"TB at DET","🔥 ELITE","HIGH","BET DET -5.9 (-123)",11.2325170938888,-5.9,5.33251709388876,"Market Average (Free Tier)","DET","TB",56.3,0,0,0,22,15,0,22,15,"⚠️ Rest advantage"
"WAS at DAL","🔥 ELITE","VERY HIGH","BET DAL -1.6 (-109)",8.99129732087926,-1.6,7.39129732087926,"Market Average (Free Tier)","DAL","WAS",58.4,0,0,0,21,14,0,21,14,"⚠️ Rest advantage"
"NO at CHI","🔥 ELITE","LOW","BET CHI -4.8 (-113)",8.50798537748578,-4.8,3.70798537748578,"Market Average (Free Tier)","CHI","NO",48.8,0,0,0,28,21,0,28,21,"⚠️ Rest advantage"
"ATL at SF","🔥 ELITE","VERY HIGH","BET SF -1.6 (-123)",7.74658931689713,-1.6,6.14658931689713,"Market Average (Free Tier)","SF","ATL",50.9,0,0,0,21,28,0,21,28,"⚠️ Rest advantage"
"GB at ARI","🔥 ELITE","LOW","BET GB -7.5 (-129)",-6.25618955283135,8,1.74381044716865,"Market Average (Free Tier)","ARI","GB",47.7,0,0,0,14,21,0,14,21,"⚠️ Rest advantage"
"HOU at SEA","🔥 ELITE","VERY LOW","BET SEA -3.2 (-118)",5.38923918215443,-3.2,2.18923918215443,"Market Average (Free Tier)","SEA","HOU",44.5,0,0,0,15,15,0,15,15,""
"PIT at CIN","⭐ STRONG","VERY LOW","BET PIT -5.9 (-113)",-3.8,6.3,2.5,"Market Average (Free Tier)","CIN","PIT",48.8,0,0,0,11,25,0,11,25,"⚠️ Thursday game (short rest)"
"IND at LAC","✓ GOOD","MEDIUM","BET LAC -1.6 (-120)",2.25602935331167,-1.6,0.656029353311669,"Market Average (Free Tier)","LAC","IND",52,0,0,0,14,21,0,14,21,"⚠️ Rest advantage"
"MIA at CLE","✓ GOOD","VERY HIGH","BET CLE -2.7 (-123)",2.13319201211925,-2.7,-0.566807987880755,"Market Average (Free Tier)","CLE","MIA",38.1,0,0,0,14,14,0,14,14,""
