"gameday","gametime","matchup","away_team","home_team","ml_pick","ml_confidence","ml_home_odds","ml_away_odds","home_win_prob","away_win_prob","moneyline_strength","moneyline_bet","spread_favorite","spread_underdog","spread_line","spread_display","spread_alt_display","total_line","over_display","under_display","predicted_home_score","predicted_away_score","predicted_score","prediction_summary","game_type"
"2025-10-19","13:00","LV @ KC","LV","KC","KC","85.02%","KC (85.02%)","LV (14.98%)",0.85017073704365,0.14982926295635,"🔥 STRONG","BET KC ML","KC","LV",22.57,"KC -22.57","LV +22.57",48.79,"OVER 48.79","UNDER 48.79",35.68,13.11,"KC 35.68 - LV 13.11","KC wins 35.68-13.11 (Total: 48.79)","💥 BLOWOUT"
"2025-10-20","22:00","HOU @ SEA","HOU","SEA","SEA","76.65%","SEA (76.65%)","HOU (23.35%)",0.766516802613472,0.233483197386528,"🔥 STRONG","BET SEA ML","SEA","HOU",15.45,"SEA -15.45","HOU +15.45",60.55,"OVER 60.55","UNDER 60.55",38,22.55,"SEA 38 - HOU 22.55","SEA wins 38-22.55 (Total: 60.55)","💥 BLOWOUT"
"2025-10-19","16:25","WAS @ DAL","WAS","DAL","DAL","73.26%","DAL (73.26%)","WAS (26.74%)",0.732610145879122,0.267389854120878,"🔥 STRONG","BET DAL ML","DAL","WAS",13.1,"DAL -13.1","WAS +13.1",52.04,"OVER 52.04","UNDER 52.04",32.57,19.47,"DAL 32.57 - WAS 19.47","DAL wins 32.57-19.47 (Total: 52.04)","📊 MODERATE EDGE"
"2025-10-19","09:30","LA @ JAX","LA","JAX","JAX","65.37%","JAX (65.37%)","LA (34.63%)",0.653709907522407,0.346290092477593,"✓ GOOD","BET JAX ML","JAX","LA",8.26,"JAX -8.26","LA +8.26",50.99,"OVER 50.99","UNDER 50.99",29.62,21.36,"JAX 29.62 - LA 21.36","JAX wins 29.62-21.36 (Total: 50.99)","📊 MODERATE EDGE"
"2025-10-19","20:20","ATL @ SF","ATL","SF","SF","65.07%","SF (65.07%)","ATL (34.93%)",0.650658440585064,0.349341559414936,"✓ GOOD","BET SF ML","SF","ATL",8.09,"SF -8.09","ATL +8.09",40.03,"OVER 40.03","UNDER 40.03",24.06,15.97,"SF 24.06 - ATL 15.97","SF wins 24.06-15.97 (Total: 40.03)","📊 MODERATE EDGE"
"2025-10-16","20:15","PIT @ CIN","PIT","CIN","CIN","64.55%","CIN (64.55%)","PIT (35.45%)",0.645481544136249,0.354518455863751,"✓ GOOD","BET CIN ML","CIN","PIT",7.79,"CIN -7.79","PIT +7.79",41.61,"OVER 41.61","UNDER 41.61",24.7,16.91,"CIN 24.7 - PIT 16.91","CIN wins 24.7-16.91 (Total: 41.61)","📊 MODERATE EDGE"
"2025-10-19","16:25","GB @ ARI","GB","ARI","GB","62.15%","ARI (37.85%)","GB (62.15%)",0.378516429393644,0.621483570606356,"✓ GOOD","BET GB ML","GB","ARI",-6.45,"GB -6.45","ARI +6.45",45.71,"OVER 45.71","UNDER 45.71",19.63,26.08,"ARI 19.63 - GB 26.08","GB wins 26.08-19.63 (Total: 45.71)","⚖️ COMPETITIVE"
"2025-10-19","13:00","CAR @ NYJ","CAR","NYJ","CAR","64.1%","NYJ (35.9%)","CAR (64.1%)",0.35896420801524,0.64103579198476,"✓ GOOD","BET CAR ML","CAR","NYJ",-7.54,"CAR -7.54","NYJ +7.54",33.54,"OVER 33.54","UNDER 33.54",13,20.54,"NYJ 13 - CAR 20.54","CAR wins 20.54-13 (Total: 33.54)","📊 MODERATE EDGE"
"2025-10-20","19:00","TB @ DET","TB","DET","TB","65.11%","DET (34.89%)","TB (65.11%)",0.348936219977634,0.651063780022366,"✓ GOOD","BET TB ML","TB","DET",-8.11,"TB -8.11","DET +8.11",56.17,"OVER 56.17","UNDER 56.17",24.03,32.14,"DET 24.03 - TB 32.14","TB wins 32.14-24.03 (Total: 56.17)","📊 MODERATE EDGE"
"2025-10-19","13:00","MIA @ CLE","MIA","CLE","MIA","72.64%","CLE (27.36%)","MIA (72.64%)",0.273576849063354,0.726423150936646,"🔥 STRONG","BET MIA ML","MIA","CLE",-12.7,"MIA -12.7","CLE +12.7",38.7,"OVER 38.7","UNDER 38.7",13,25.7,"CLE 13 - MIA 25.7","MIA wins 25.7-13 (Total: 38.7)","📊 MODERATE EDGE"
"2025-10-19","13:00","NE @ TEN","NE","TEN","NE","77.2%","TEN (22.8%)","NE (77.2%)",0.22796505205761,0.77203494794239,"🔥 STRONG","BET NE ML","NE","TEN",-15.86,"NE -15.86","TEN +15.86",47.23,"OVER 47.23","UNDER 47.23",15.68,31.54,"TEN 15.68 - NE 31.54","NE wins 31.54-15.68 (Total: 47.23)","💥 BLOWOUT"
